mz,cluster,fold_change,p_value,p_adjusted,significant
712.6517053770214,2,0.016,1.0,0.0,True
712.6588925542129,2,0.0182,1.0,0.0,True
712.6660798401304,2,0.0235,1.0,0.0,True
712.6732672347761,2,0.039,1.0,0.0,True
712.6804547381522,2,0.1107,1.0,0.0,True
716.0851324854874,2,3.0462,0.0,0.0,True
716.0923716651783,2,4.1076,0.0,0.0,True
716.0996109546454,2,3.6829,0.0,0.0,True
716.106850353891,2,3.2539,0.0,0.0,True
716.1140898629171,2,3.1363,0.0,0.0,True
716.1213294817261,2,3.1135,0.0,0.0,True
716.1285692103202,2,3.1143,0.0,0.0,True
716.1358090487015,2,3.1401,0.0,0.0,True
716.1430489968724,2,3.2803,0.0,0.0,True
716.150289054835,2,3.7325,0.0,0.0,True
716.1575292225915,2,4.1484,0.0,0.0,True
716.1647695001442,2,4.0237,0.0,0.0,True
716.1720098874953,2,2.3409,0.0,0.0,True
721.0405482511893,2,0.8103,2.1402803e-35,0.0,True
721.0478627053386,2,1.1728,1.0909304e-26,0.0,True
721.0551772707888,2,1.2604,7.362176e-18,0.0,True
721.062491947542,2,1.2843,3e-45,0.0,True
721.0698067356004,2,1.2862,0.0,0.0,True
721.0771216349664,2,1.2867,0.0,0.0,True
721.0844366456423,2,1.2866,0.0,0.0,True
721.0917517676302,2,1.2826,0.0,0.0,True
721.0990670009325,2,1.2553,0.0,0.0,True
721.1063823455513,2,1.2022,4.0958075e-22,0.0,True
721.1136978014891,2,1.0827,2.455949e-14,0.0,True
721.121013368748,2,0.8431,2.75e-43,0.0,True
747.1693768647791,2,1.7336,0.0,0.0,True
747.1770924891719,2,2.0244,0.0,0.0,True
768.7269982412499,2,0.1166,1.0,0.0,True
768.7350501854364,2,0.1049,1.0,0.0,True
768.7431022561326,2,0.0996,1.0,0.0,True
768.751154453341,2,0.0974,1.0,0.0,True
768.7592067770642,2,0.0972,1.0,0.0,True
768.767259227305,2,0.1007,1.0,0.0,True
768.775311804066,2,0.1119,1.0,0.0,True
768.7833645073498,2,0.1442,1.0,0.0,True
780.1248315630601,2,0.1166,1.0,0.0,True
780.1330632480972,2,0.1092,1.0,0.0,True
780.1412950634232,2,0.101,1.0,0.0,True
780.1495270090408,2,0.0925,1.0,0.0,True
780.1577590849528,2,0.0917,1.0,0.0,True
780.1659912911621,2,0.1072,1.0,0.0,True
784.1574289327525,2,0.3241,1.0,0.0,True
784.1657245269123,2,0.3173,1.0,0.0,True
784.1740202527114,2,0.3075,1.0,0.0,True
784.1823161101529,2,0.2949,1.0,0.0,True
784.1906120992392,2,0.2758,1.0,0.0,True
784.1989082199732,2,0.2473,1.0,0.0,True
784.2072044723578,2,0.2171,1.0,0.0,True
784.2155008563957,2,0.186,1.0,0.0,True
784.2237973720897,2,0.166,1.0,0.0,True
784.2320940194426,2,0.1475,1.0,0.0,True
784.240390798457,2,0.1378,1.0,0.0,True
784.2486877091361,2,0.1311,1.0,0.0,True
784.2569847514823,2,0.1212,1.0,0.0,True
784.2652819254985,2,0.114,1.0,0.0,True
784.2735792311876,2,0.1084,1.0,0.0,True
790.8446160477569,2,0.1949,1.0,0.0,True
790.8530179837829,2,0.169,1.0,0.0,True
790.8614200537032,2,0.1598,1.0,0.0,True
790.8698222575206,2,0.1563,1.0,0.0,True
790.8782245952377,2,0.158,1.0,0.0,True
790.8866270668576,2,0.1692,1.0,0.0,True
790.895029672383,2,0.2386,1.0,0.0,True
790.9034324118169,2,0.4497,1.0,0.0,True
790.9118352851619,2,0.6055,1.0,0.0,True
812.9578263367223,2,0.6069,1.0,0.0,True
812.9665831224094,2,0.519,1.0,0.0,True
812.9753400495831,2,0.5039,1.0,0.0,True
812.9840971182466,2,0.5059,1.0,0.0,True
812.9928543284028,2,0.5081,1.0,0.0,True
813.0016116800549,2,0.51,1.0,0.0,True
813.0103691732058,2,0.5105,1.0,0.0,True
813.0191268078587,2,0.5131,1.0,0.0,True
813.0278845840165,2,0.5282,1.0,0.0,True
813.0366425016823,2,0.6108,1.0,0.0,True
852.0928451514911,2,3.2909,0.0,0.0,True
852.1022418045337,2,3.5986,0.0,0.0,True
852.1116386130129,2,3.518,0.0,0.0,True
852.1210355769324,2,3.4943,0.0,0.0,True
852.1304326962953,2,3.4922,0.0,0.0,True
852.1398299711052,2,3.4899,0.0,0.0,True
852.1492274013656,2,3.4832,0.0,0.0,True
852.1586249870797,2,3.473,0.0,0.0,True
852.1680227282512,2,3.4532,0.0,0.0,True
